row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,sensor,matched,n_img,B2,B3,B4,B8,B11,B12,lst_C
530,E49,LAGO MAYOR,2019-07-14,-15.6063,-69.4449,12.0,0.52,10.0,13.4,LS,1,1.0,0.02832,0.02194,0.01466,0.04469,0.03207,0.01331,13.48
531,E50,LAGO MAYOR,2019-07-14,-15.6685,-69.521,12.0,0.59,16.25,14.0,LS,1,1.0,0.02747,0.02286,0.01428,0.04451,0.03362,0.01506,13.26
532,E51,LAGO MAYOR,2019-07-14,-15.7371,-69.6037,11.0,0.6,9.5,14.0,LS,0,,,,,,,,
533,E52,LAGO MAYOR,2019-07-14,-15.8017,-69.6838,10.0,1.53,10.25,13.1,LS,1,1.0,0.08148,0.0795,0.07535,0.10666,0.11315,0.0799,7.53
534,E53,LAGO MAYOR,2019-07-14,-15.8703,-69.7694,9.0,0.6,5.5,13.3,LS,1,1.0,0.04598,0.0592,0.06071,0.10281,0.11799,0.09384,7.45
535,E58,LAGO MAYOR,2019-07-16,-15.9513,-69.5449,,1.19,10.75,12.9,LS,1,1.0,0.02619,0.02264,0.01396,0.0444,0.03373,0.01509,13.45
536,E59,LAGO MAYOR,2019-07-15,-15.8874,-69.4614,11.0,0.24,13.25,13.6,LS,1,1.0,0.02921,0.02454,0.01542,0.04486,0.03361,0.01458,13.27
537,E60,LAGO MAYOR,2019-07-15,-15.8267,-69.3764,11.0,0.95,8.75,13.6,LS,1,1.0,0.02804,0.02321,0.01461,0.04425,0.0331,0.01438,13.38
538,E61,LAGO MAYOR,2019-07-15,-15.7589,-69.3042,11.0,1.02,10.75,13.2,LS,1,1.0,0.02159,0.01818,0.01056,0.04143,0.03174,0.01353,13.65
539,E65,LAGO MAYOR,2019-07-15,-15.6905,-69.2308,,1.1,8.75,12.7,LS,0,,,,,,,,
540,E72,LAGO MAYOR,2019-07-15,-15.6931,-69.1707,6.0,0.68,20.5,11.7,LS,1,1.0,0.0341,0.03851,0.02414,0.05132,0.03631,0.01609,13.47
541,E76,LAGO MAYOR,2019-07-19,-15.8077,-69.0414,9.9,1.1,11.5,12.6,LS,1,1.0,0.02212,0.01947,0.01157,0.04328,0.03265,0.01416,14.38
542,E78,LAGO MAYOR,2019-07-19,-15.8894,-69.1325,12.0,1.1,11.5,13.5,LS,1,1.0,0.02872,0.02255,0.01481,0.0445,0.03221,0.0134,13.88
543,E79,LAGO MAYOR,2019-07-19,-15.9605,-69.2275,9.0,0.51,6.75,12.5,LS,0,,,,,,,,
544,E80,LAGO MAYOR,2019-07-16,-16.0317,-69.3194,11.0,1.02,6.25,13.7,LS,0,,,,,,,,
545,E82,LAGO MAYOR,2019-07-16,-16.1121,-69.4175,9.0,0.08,6.25,13.8,LS,1,1.0,0.02478,0.0205,0.01193,0.04285,0.03222,0.01383,13.44
546,E83,LAGO MAYOR,2019-07-16,-16.1849,-69.5079,10.0,0.51,3.0,13.0,LS,1,1.0,0.02229,0.01974,0.01218,0.04435,0.034,0.01534,14.37
547,E88,LAGO MAYOR,2019-07-17,-16.2031,-69.3822,11.0,2.21,1.0,13.0,LS,1,1.0,0.02446,0.02097,0.01267,0.04353,0.0328,0.01387,13.93
548,E94,LAGO MAYOR,2019-07-17,-16.2545,-69.2917,8.0,1.02,0.75,13.1,LS,1,1.0,0.02175,0.01935,0.01143,0.04308,0.03293,0.01442,14.43
549,E97,LAGO MAYOR,2019-07-17,-16.1754,-69.1951,10.0,0.95,3.75,13.0,LS,1,1.0,0.02573,0.02192,0.01352,0.04389,0.03284,0.01434,13.92
550,E98,LAGO MAYOR,2019-07-18,-16.1034,-69.1089,7.0,0.51,1.75,13.0,LS,1,1.0,0.02537,0.02042,0.01296,0.04395,0.03241,0.01378,14.35
551,E99,LAGO MAYOR,2019-07-20,-16.0824,-69.0817,13.0,2.64,3.5,13.2,LS,1,1.0,0.02806,0.02486,0.0171,0.04773,0.03645,0.01785,15.82
552,E100,LAGO MAYOR,2019-07-20,-16.005,-68.9964,11.0,1.1,5.25,12.4,LS,1,1.0,0.02278,0.01794,0.01128,0.04269,0.03267,0.014,13.85
553,E103,LAGO MAYOR,2019-07-20,-15.9398,-68.9,,1.62,5.75,12.3,LS,1,2.0,0.02567,0.02547,0.0176,0.0461,0.0337,0.01473,13.41
554,E104,LAGO MAYOR,2019-07-20,-16.0384,-68.8577,10.0,1.02,5.75,12.4,LS,1,2.0,0.02892,0.02684,0.01398,0.04427,0.03297,0.01429,13.29
555,E105,LAGO MAYOR,2019-07-20,-15.9864,-68.8016,,1.53,8.5,12.5,LS,1,2.0,0.02905,0.03558,0.02242,0.04524,0.03361,0.01455,12.04
556,E113,LAGO MAYOR,2019-07-17,-16.2298,-69.1135,9.0,0.67,1.25,13.8,LS,1,1.0,0.02365,0.02144,0.01357,0.04413,0.03328,0.01464,14.43
557,E117,LAGO MAYOR,2019-07-18,-16.1686,-69.0979,10.0,0.59,5.0,13.6,LS,1,1.0,0.02374,0.02048,0.01265,0.04416,0.03305,0.01443,14.62
558,E120,LAGO MAYOR,2019-07-20,-16.1262,-68.9334,11.5,1.19,11.5,13.6,LS,1,2.0,0.02293,0.01795,0.01273,0.04437,0.03206,0.01315,13.32
559,E121,LAGO MAYOR,2019-07-21,-16.2077,-68.8626,11.0,0.59,10.75,12.6,LS,1,2.0,0.02311,0.01958,0.01433,0.04597,0.03309,0.01384,13.73
560,E122,LAGO MENOR,2019-07-21,-16.2281,-68.8351,11.0,1.19,3.75,12.7,LS,1,2.0,0.02339,0.0201,0.01357,0.04516,0.03289,0.01372,13.5
561,E123,LAGO MENOR,2019-07-21,-16.1922,-68.7968,9.0,1.1,5.5,12.4,LS,1,2.0,0.02191,0.01876,0.01356,0.04535,0.03287,0.01382,12.89
562,E125,LAGO MENOR,2019-07-21,-16.2132,-68.7325,8.5,1.19,1.0,12.4,LS,1,1.0,0.0212,0.01854,0.01462,0.04656,0.03309,0.0138,11.87
563,E127,LAGO MENOR,2019-07-21,-16.2173,-68.6217,,2.37,0.25,10.7,LS,1,1.0,0.02413,0.02911,0.01723,0.04782,0.03345,0.01406,9.87
564,E126,LAGO MENOR,2019-07-21,-16.2684,-68.7153,,1.11,0.5,11.0,LS,1,1.0,0.02373,0.02393,0.01469,0.04601,0.03242,0.01303,10.72
565,E124,LAGO MENOR,2019-07-21,-16.2631,-68.6226,,1.19,0.75,11.7,LS,1,1.0,0.02497,0.03208,0.01649,0.04679,0.03248,0.0133,9.12
566,E132,LAGO MENOR,2019-07-21,-16.315,-68.8479,7.0,1.7,2.75,11.4,LS,1,2.0,0.0249,0.02646,0.01388,0.04422,0.03239,0.0137,11.9
567,E129,LAGO MENOR,2019-07-22,-16.33,-68.7973,,0.51,2.5,10.4,LS,1,2.0,0.02459,0.03775,0.01617,0.04349,0.03173,0.01284,10.55
