row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
258,E123,LAGO MENOR,2019-07-21,-16.1922,-68.7968,9.0,1.1,5.5,12.4,8.47,6.76,1,4,0.00135,0.00538,0.0063,0.0027,0.00511,0.00426,0.00418,0.0021,0.00225,0.00258,0.0019
259,E125,LAGO MENOR,2019-07-21,-16.2132,-68.7325,8.5,1.19,1.0,12.4,8.55,6.66,1,4,0.00117,0.00525,0.00603,0.00277,0.00544,0.00459,0.0044,0.00242,0.0022,0.00297,0.00244
260,E127,LAGO MENOR,2019-07-21,-16.2173,-68.6217,,2.37,0.25,10.7,8.56,6.47,1,4,0.0001,0.00271,0.01475,0.00034,0.00243,0.00126,0.00161,0.0001,0.0001,0.00113,0.00157
261,E126,LAGO MENOR,2019-07-21,-16.2684,-68.7153,,1.11,0.5,11.0,8.66,6.91,1,4,0.00294,0.00871,0.01542,0.0033,0.00575,0.0045,0.00433,0.00237,0.00226,0.00233,0.00172
262,E124,LAGO MENOR,2019-07-21,-16.2631,-68.6226,,1.19,0.75,11.7,8.66,6.88,1,4,0.0001,0.00427,0.01895,0.00024,0.00268,0.00183,0.00185,0.00014,0.00012,0.00093,0.00121
263,E132,LAGO MENOR,2019-07-21,-16.315,-68.8479,7.0,1.7,2.75,11.4,8.86,6.48,1,8,0.00808,0.01627,0.0169,0.00355,0.00372,0.00172,0.00207,0.00062,0.00061,0.00279,0.00245
264,E129,LAGO MENOR,2019-07-22,-16.33,-68.7973,,0.51,2.5,10.4,8.4,5.54,1,8,0.01291,0.01869,0.03432,0.00788,0.00862,0.00416,0.00452,0.00305,0.0032,0.00178,0.0016
265,E130,LAGO MENOR,2019-07-22,-16.2142,-68.9393,10.0,1.27,3.25,11.6,8.27,6.33,1,8,0.01012,0.01381,0.01412,0.00502,0.00419,0.00297,0.00272,0.00191,0.00196,0.0013,0.00108
266,E135,LAGO MENOR,2019-07-22,-16.2802,-69.0344,,2.21,1.0,11.5,8.57,8.48,1,4,0.01092,0.01703,0.0243,0.00808,0.00632,0.00294,0.00259,0.00238,0.00216,0.00141,0.00166
267,E136,LAGO MENOR,2019-07-22,-16.3034,-68.9854,6.5,0.59,7.0,11.7,8.31,6.8,1,16,0.01293,0.01736,0.01899,0.00904,0.00869,0.0065,0.00687,0.00541,0.00453,0.0025,0.00205
268,E137,LAGO MENOR,2019-07-22,-16.3655,-68.9025,5.0,1.19,3.0,11.7,8.54,6.91,1,8,0.01293,0.01733,0.02129,0.00772,0.00725,0.00488,0.00518,0.0035,0.00305,0.00211,0.00165
269,E138,LAGO MENOR,2019-07-23,-16.3921,-68.8399,,2.88,6.5,10.8,9.25,6.12,1,4,0.01831,0.02338,0.03049,0.00981,0.00845,0.00504,0.00499,0.00441,0.00369,0.00207,0.0009
270,E139,LAGO MENOR,2019-07-23,-16.4219,-68.9028,,2.29,8.25,11.9,8.52,6.8,1,4,0.02275,0.02742,0.03187,0.01007,0.00711,0.004,0.00404,0.0034,0.00261,0.00149,0.0017
271,E141,LAGO MENOR,2019-07-23,-16.376,-69.0078,10.0,0.51,1.5,11.4,8.42,6.92,1,4,0.01475,0.0161,0.01635,0.00572,0.00408,0.0026,0.00255,0.00233,0.0018,0.00094,0.00109
