row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
244,E81,LAGO MAYOR,2015-07-30,2015-07-30,2015,7,-16.0352,-69.3885,LS,E81|2015-07-30|10.0,10.0,1.7,5.0,13.1,0.01459939179486841,0.01176210513459827,0.005090928230922336,0.0028378185798511764,0.0016687792188296718,0.0018980684109956942,0.6112556557168263,-0.3958442591990677,1.2412225861424815,0.4328245445726217,0.8056571461473776,2.867726329054353
245,E82,LAGO MAYOR,2015-07-30,2015-07-30,2015,7,-16.1109,-69.4173,LS,E82|2015-07-30|9.0,9.0,1.7,7.0,13.09,0.01463293965829644,0.011881814701131947,0.005001369941848002,0.0028315126684540434,0.0017765087482533234,0.001934963095158092,0.6151090905702776,-0.40753237598526576,1.2315407027313512,0.42092640280319576,0.8119909031678684,2.9257857152442246
246,E83,LAGO MAYOR,2015-07-31,2015-07-31,2015,7,-16.1837,-69.5067,LS,E83|2015-07-31|9.0,9.0,1.1,1.33,13.06,0.014591649980231176,0.012380604561688938,0.00488195888974889,0.0025603584783771977,0.0018919332440643852,0.002107138287915947,0.6572699095572063,-0.43438770021886725,1.1785893595854622,0.39432311007918924,0.8484718129882787,2.9888918200394547
248,E85,LAGO MAYOR,2015-07-31,2015-07-31,2015,7,-16.1599,-69.4444,LS,E85|2015-07-31|9.0,9.0,1.11,1.33,13.06,0.014614875424142887,0.011828610449339201,0.005035487385304891,0.0028189008456597706,0.0016226094205052492,0.0018673228408603634,0.6151016925075784,-0.4028156577260522,1.2355529207073024,0.4257040149531834,0.8093541201483617,2.9023749646198373
249,E86,LAGO MAYOR,2015-07-31,2015-07-31,2015,7,-16.1485,-69.3872,LS,E86|2015-07-31|9.0,9.0,0.52,1.0,13.47,0.014558102116803147,0.011649046099538686,0.005061075467897558,0.002686476706319916,0.0016456943196674588,0.0018119808146167676,0.6251999937076573,-0.39425028781532684,1.2497247193188585,0.43446261523811525,0.8001760947889708,2.8764833349476704
250,E88,LAGO MAYOR,2015-08-03,2015-08-03,2015,8,-16.2064,-69.3781,LS,E88|2015-08-03|9.5,9.5,0.59,6.33,13.33,0.0151671248682658,0.013052308240572354,0.005440632026355451,0.003172031883899383,0.001699559084379288,0.0016521038499130447,0.6089785884599165,-0.4115990044173982,1.16202616630624,0.41683290872725864,0.8605656967535107,2.7877500273944946
251,E90,LAGO MAYOR,2015-08-02,2015-08-02,2015,8,-16.2446,-69.3569,LS,E90|2015-08-02|9.0,9.0,0.08,5.33,13.56,0.01463293965829644,0.0123207497784221,0.0047668125180818895,0.0024405461618316124,0.0016918641179918849,0.0018119808146167676,0.6693316757044161,-0.4420722328435032,1.1876662324769838,0.38689302330749425,0.8419872714673112,3.0697529078470356
252,E91,LAGO MAYOR,2015-08-02,2015-08-02,2015,8,-16.232,-69.3428,LS,E91|2015-08-02|10.0,10.0,0.59,1.0,13.38,0.015094867931651587,0.012613373163282201,0.005240192046046227,0.0029702427191910345,0.0015456597566312104,0.0016951476481025076,0.6187992503163188,-0.41298085944216073,1.1967351270362745,0.4154472846211553,0.8356066700807135,2.8805938634342487
253,E92,LAGO MAYOR,2015-08-02,2015-08-02,2015,8,-16.2428,-69.3065,LS,E92|2015-08-02|9.0,9.0,0.59,1.0,13.44,0.015138738214595932,0.012733082729815878,0.005197545241725115,0.0030333018331623954,0.001530269823856404,0.001762787902400237,0.6152190594291919,-0.4202606333582031,1.188929448343056,0.40819218282170777,0.841092679470913,2.912670231399661
255,E94,LAGO MAYOR,2015-08-02,2015-08-02,2015,8,-16.251,-69.2884,LS,E94|2015-08-02|9.0,9.0,0.08,2.0,13.31,0.01508970672189343,0.012600072100334016,0.005299897572095783,0.002989160453382444,0.0016687792188296718,0.0016889985340754416,0.6165095682116033,-0.40783164742734657,1.1975888236309848,0.42062435113612856,0.8350110109855051,2.8471689630706236
