station,zona,campaign_date,year,month,sensor,lat,lon,secchi,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
E76,LAGO MAYOR,2017-07-19,2017,7,S2,-15.8125,-69.0449,9.0,0.00778,0.00765,0.00248,0.00168,0.00163,0.00184,0.6398713140545216,-0.5103652013459821,1.0169933311119828,0.32418296415908965,0.9832903620449406,3.1370955092356816
E78,LAGO MAYOR,2017-07-19,2017,7,S2,-15.8903,-69.1327,10.3,0.0117,0.00841,0.00326,0.00209,0.00216,0.00165,0.6019047045805044,-0.4413024471891649,1.3912007858263038,0.38763372323023504,0.7188033573672344,3.58895595430799
E79,LAGO MAYOR,2017-07-16,2017,7,S2,-15.96,-69.2272,10.0,0.01045,0.00792,0.00237,0.00126,0.00131,0.00131,0.7254901170490069,-0.5393585481672936,1.3194442778479447,0.2992423864592947,0.7578946643163001,4.40928083996589
E80,LAGO MAYOR,2017-07-17,2017,7,S2,-16.0316,-69.3198,10.0,0.01271,0.01002,0.00434,0.00228,0.00193,0.00183,0.6292682415229073,-0.3955431479426777,1.268462947259187,0.4331336893080151,0.7883555634653372,2.9285707537855403
E82,LAGO MAYOR,2017-07-17,2017,7,S2,-16.1109,-69.4173,10.0,0.01442,0.01204,0.00578,0.00405,0.00305,0.00281,0.49658169691847753,-0.35129066491073707,1.19767431913004,0.48006640531009925,0.8349513984083635,2.4948092569534155
E83,LAGO MAYOR,2017-07-17,2017,7,S2,-16.1837,-69.5067,8.0,0.01528,0.01341,0.00543,0.00361,0.004,0.00362,0.5757931506584517,-0.42356685649857456,1.1394480880351912,0.40492167002821255,0.8776177436114042,2.8139957985274773
E88,LAGO MAYOR,2017-07-20,2017,7,S2,-16.2064,-69.3781,8.0,0.01572,0.014,0.00689,0.00522,0.00398,0.00367,0.456815793089709,-0.3403542201840967,1.1228570626530672,0.4921428219897985,0.8905851850772782,2.2815671579728365
E94,LAGO MAYOR,2017-07-20,2017,7,S2,-16.251,-69.2884,9.0,0.01725,0.01504,0.00955,0.00964,0.00942,0.00749,0.21880063943271316,-0.22326147933056203,1.1469414131023,0.6349733620363456,0.871884007427014,1.806282533373557
E97,LAGO MAYOR,2017-07-20,2017,7,S2,-16.1757,-69.1958,10.0,0.01137,0.00852,0.00337,0.00185,0.00157,0.00205,0.6432014808870317,-0.43313705356290555,1.3345068856212576,0.39553985967842026,0.7493403034881,3.3738862392028963
E98,LAGO MAYOR,2017-07-19,2017,7,S2,-16.1056,-69.1103,9.5,0.01056,0.00815,0.00271,0.00169,0.00222,0.00211,0.6565039983227643,-0.5009207641877749,1.2957053624901398,0.33251529662389007,0.7717802299450539,3.8966775289012805
E99,LAGO MAYOR,2017-07-19,2017,7,S2,-16.0745,-69.0742,11.0,0.01204,0.0102,0.00419,0.0027,0.0025,0.00253,0.5813953037678059,-0.41765111760589874,1.180392041138035,0.4107842734525222,0.8471760093707634,2.873507667420604
E100,LAGO MAYOR,2017-07-19,2017,7,S2,-16.0055,-68.9959,10.0,0.01126,0.00897,0.00362,0.00174,0.00134,0.00152,0.6750699649794617,-0.4249403951596192,1.255295289264739,0.40356740205491615,0.7966251512766297,3.1104963783159176
E104,LAGO MAYOR,2017-07-19,2017,7,S2,-16.0297,-68.8837,10.2,0.01964,0.01834,0.01246,0.01159,0.00934,0.00829,0.22552622032989572,-0.19090908471074394,1.0708832567675435,0.679389275932973,0.9338085064252287,1.5762438542340407
E113,LAGO MAYOR,2017-07-20,2017,7,S2,-16.2174,-69.1367,10.0,0.0114,0.00933,0.00376,0.00258,0.00184,0.00183,0.566750582136811,-0.42551562830285505,1.2218648208076293,0.4030010286172531,0.8184209808402648,3.031914087256892
E117,LAGO MAYOR,2017-07-19,2017,7,S2,-16.1653,-69.1027,8.5,0.01221,0.00982,0.00339,0.00255,0.00232,0.0021,0.5877121594412159,-0.4867524234101119,1.2433807287799665,0.3452138141330128,0.8042587383899478,3.601768849035738
E120,LAGO MAYOR,2017-07-21,2017,7,S2,-16.1264,-68.9337,9.5,0.01221,0.00998,0.00414,0.00289,0.00193,0.00165,0.5508935080890824,-0.41359770441942606,1.2234467711977186,0.41482961775254334,0.8173627504207411,2.9492746499336597
E121,LAGO MAYOR,2017-07-21,2017,7,S2,-16.2068,-68.8643,9.0,0.01249,0.01265,0.00706,0.00657,0.00719,0.00688,0.31633713234458205,-0.2836123651135279,0.9873517006046086,0.5581027226796267,1.0128101671088738,1.7691215624473704
E122,LAGO MENOR,2017-07-21,2017,7,S2,-16.2276,-68.8361,9.0,0.01596,0.01548,0.01025,0.01095,0.01136,0.0101,0.17139613426424014,-0.20326466368967494,1.0310076853354206,0.6621446600681744,0.9699247512578478,1.5570730188221444
E123,LAGO MENOR,2017-07-21,2017,7,S2,-16.1925,-68.797,6.5,0.01612,0.01801,0.01102,0.0103,0.00948,0.00825,0.2723419190271311,-0.24078538612520203,0.8950582512460714,0.6118822536434062,1.1172455882601995,1.4627947855903098
E125,LAGO MENOR,2017-07-21,2017,7,S2,-16.2626,-68.7843,8.0,0.02516,0.03239,0.01153,0.00924,0.00756,0.00699,0.5560893452777002,-0.47495445184529944,0.7767829337208109,0.355974055079529,1.287360839135102,2.182133375357036
E130,LAGO MENOR,2017-07-22,2017,7,S2,-16.3144,-68.8451,5.4,0.01429,0.01844,0.00308,0.00114,0.00251,0.00259,0.8835546024742288,-0.7137546136731129,0.7749457280398195,0.1670281905082326,1.2904127858353545,4.63960888324387
E136,LAGO MENOR,2017-07-22,2017,7,S2,-16.2659,-69.0601,7.0,0.01269,0.01399,0.00561,0.00289,0.00247,0.003,0.6575828994322928,-0.4275509985943369,0.9070764183648021,0.4010006861329031,1.1024427815253917,2.2620316823472932
E135,LAGO MENOR,2017-07-22,2017,7,S2,-16.3028,-68.9852,6.0,0.01475,0.01444,0.00487,0.00229,0.00135,0.00144,0.7262402435002844,-0.4955981100156338,1.021468073305535,0.33725759437274283,0.97898298447573,3.0287468113456235
E137,LAGO MENOR,2017-07-22,2017,7,S2,-16.4011,-68.8334,6.0,0.01308,0.02277,0.00578,0.0022,0.00185,0.00258,0.8237885132643767,-0.5950963013976777,0.5744400274729896,0.2538427644337829,1.7408255549827558,2.2629753870284794
E142,LAGO MENOR,2017-07-22,2017,7,S2,-16.4515,-68.998,6.0,0.01612,0.01605,0.0052,0.00238,0.0018,0.00165,0.7417254073941721,-0.510588211266437,1.0043613081394824,0.32398751875467174,0.9956575064728594,3.0999994038462684
E-148,LAGO MENOR,2017-07-22,2017,7,S2,-16.5187,-68.8773,6.0,0.02058,0.03608,0.00856,0.00207,0.0017,0.002,0.8914809727003676,-0.6164874413869301,0.5703990972727523,0.2372505477480447,1.7531583210321515,2.4042053266115277
E-145,LAGO MENOR,2017-07-23,2017,7,S2,-16.5139,-68.977,6.5,0.01722,0.01779,0.00608,0.00337,0.00244,0.00199,0.681474447945442,-0.4905739216349425,0.9679594734143072,0.341765017326306,1.0331009853019173,2.8322363762769114
E-147,LAGO MENOR,2017-07-23,2017,7,S2,-16.493,-69.0596,6.5,0.02182,0.03159,0.01027,0.00437,0.00278,0.00278,0.7569521480269148,-0.5093167580191887,0.6907248910818331,0.32510287036711394,1.4477542874539742,2.1246346519343087
