observed,predicted_unbounded,predicted_bounded
15.0,10.460591191042177,8.872362515326168
16.5,9.963410117940002,8.82058620808629
15.0,10.157399180892405,8.841311062220557
15.0,10.244995872469666,8.850445427616478
15.0,9.873229591407869,8.810709898060935
16.0,9.188551999785037,8.730164074983906
14.0,9.447562401004737,8.761856719108948
15.0,9.315774018309316,8.745928772977836
11.0,9.277920447008734,8.741278832731307
10.0,9.282877203595344,8.741889661163071
6.0,6.865719693241905,8.346316494896087
8.0,5.516609282177581,7.964212978700966
4.0,5.5701114598038775,7.98365296299903
5.5,6.68955055963788,8.306267333268172
6.0,7.742496366970239,8.51759410721289
9.0,8.735507923515236,8.670651418625765
8.0,8.893157545422838,8.691989023875836
10.0,9.665473270396106,8.787341817679378
9.0,9.8959143329927,8.813209112915727
9.0,8.801107026267024,8.679615556266686
6.0,7.909356295621184,8.545882178318667
9.0,8.054245251314041,8.569521994896917
10.5,9.805699595572698,8.803209939255767
11.0,8.607437757089292,8.652786925818278
4.5,5.791378337882927,8.059252733156999
4.0,7.529388017155609,8.479674072467928
4.5,5.733417343433952,8.040152872951452
4.0,6.398069464127223,8.23473089135388
4.0,6.944058738059389,8.363432367340769
9.2,7.71216267695617,8.457191713097732
10.2,8.411296619987903,8.545182742095088
14.2,7.401379483045728,8.413748813644073
10.5,6.8932849768878715,8.335743183779195
5.3,6.469872528356705,8.262839948239925
10.6,8.967000204796584,8.607133232060397
6.6,7.308573101827988,8.400182928919358
6.0,6.096946003468907,8.191369439852943
10.3,7.477816725576069,8.424710819839168
7.0,7.660069302707292,8.45011348485091
10.8,7.810802048504244,8.470381296508169
8.4,6.081832857794091,8.18830956840923
13.0,7.635216774442059,8.446708599591584
14.0,9.222942913853542,8.633658600049023
12.0,9.275409771470635,8.638953523704178
9.0,9.326309685505295,8.64404560769292
9.9,7.996676123955881,8.494508641486384
12.0,11.520265732757103,8.829475055016628
9.0,10.477893822813718,8.74880021258091
10.0,7.291590463156755,8.397669305042447
6.5,6.791654565821073,8.31895921412674
5.0,6.067715354618886,8.185438964875562
5.5,6.187137336777349,8.209352384266891
8.0,7.587600381067746,8.440133591200986
8.5,9.073054018722377,8.618267473387078
11.0,9.855131408812285,8.694500564668502
7.0,6.503237754717228,8.268882226834762
14.0,12.611231392727493,8.902947266544949
16.0,12.102961970180328,8.869944618322743
