feature,value,shap,label
B2,0.023700,-0.032544,Blue
B2,0.023520,-0.003461,Blue
B2,0.023300,-0.024949,Blue
B2,0.023010,0.028133,Blue
B2,0.025970,-0.062422,Blue
B2,0.021820,0.082576,Blue
B2,0.024470,-0.067441,Blue
B2,0.024140,-0.093201,Blue
B2,0.026540,-0.080894,Blue
B2,0.029390,-0.141523,Blue
B2,0.025840,-0.161618,Blue
B2,0.026400,-0.086318,Blue
B2,0.024600,-0.083112,Blue
B2,0.025070,-0.066625,Blue
B2,0.024080,-0.016204,Blue
B2,0.026670,-0.053434,Blue
B2,0.027890,0.006074,Blue
B2,0.026710,-0.024972,Blue
B2,0.027900,-0.019769,Blue
B2,0.028110,0.016158,Blue
B2,0.029940,-0.008213,Blue
B2,0.025630,0.043295,Blue
B2,0.026680,-0.018078,Blue
B2,0.025760,-0.032319,Blue
B2,0.025120,0.024023,Blue
B2,0.025940,-0.057198,Blue
B2,0.028280,-0.024139,Blue
B2,0.027910,-0.062570,Blue
B2,0.031420,-0.020420,Blue
B2,0.047360,-0.119152,Blue
B2,0.028910,-0.017246,Blue
B2,0.029630,-0.042971,Blue
B2,0.025370,0.048537,Blue
B2,0.025790,-0.070222,Blue
B2,0.025230,0.022670,Blue
B2,0.026780,0.042081,Blue
B2,0.022550,-0.041759,Blue
B2,0.026610,-0.034385,Blue
B2,0.025410,-0.001301,Blue
B2,0.026180,-0.076428,Blue
B2,0.024640,-0.103582,Blue
B2,0.028460,-0.103989,Blue
B2,0.025060,0.039236,Blue
B2,0.025580,-0.036669,Blue
B2,0.023380,0.033844,Blue
B2,0.023460,0.013031,Blue
B2,0.027640,-0.044414,Blue
B2,0.021610,0.139555,Blue
B2,0.023500,-0.024476,Blue
B2,0.023220,-0.086947,Blue
B2,0.026120,-0.006691,Blue
B2,0.023140,-0.078724,Blue
B2,0.026780,-0.107566,Blue
B2,0.028130,-0.063237,Blue
B2,0.024700,-0.102406,Blue
B2,0.023890,-0.044601,Blue
B2,0.023760,-0.013568,Blue
B2,0.025090,-0.011533,Blue
B2,0.022770,-0.000842,Blue
B2,0.023500,0.013725,Blue
B2,0.022330,-0.050575,Blue
B2,0.021990,0.063572,Blue
B2,0.023070,0.089945,Blue
B2,0.023620,-0.079683,Blue
B2,0.021320,-0.074240,Blue
B2,0.021690,0.059018,Blue
B2,0.023470,-0.020011,Blue
B2,0.028300,0.086004,Blue
B2,0.023400,0.003250,Blue
B2,0.024160,0.001634,Blue
B2,0.021880,0.038728,Blue
B2,0.023650,-0.038488,Blue
B2,0.023890,-0.000550,Blue
B2,0.026760,0.019673,Blue
B2,0.029160,-0.041807,Blue
B2,0.028620,0.012257,Blue
B2,0.027570,-0.043365,Blue
B2,0.030270,-0.039629,Blue
B2,0.023070,-0.005720,Blue
B2,0.023100,-0.009799,Blue
B2,0.022690,-0.014549,Blue
B2,0.024030,-0.049526,Blue
B2,0.024150,0.017266,Blue
B2,0.021850,-0.006026,Blue
B2,0.024960,-0.066968,Blue
B2,0.022640,-0.040223,Blue
B2,0.023390,-0.038127,Blue
B2,0.022860,-0.035199,Blue
B2,0.021670,0.112207,Blue
B2,0.021500,0.071546,Blue
B2,0.026640,-0.046387,Blue
B2,0.021810,0.078122,Blue
B2,0.021590,0.115889,Blue
B2,0.021480,0.096745,Blue
B2,0.022190,-0.047009,Blue
B2,0.023800,-0.030580,Blue
B2,0.023790,-0.010453,Blue
B2,0.023690,-0.004107,Blue
B2,0.023510,0.030928,Blue
B2,0.022400,0.008701,Blue
B2,0.022180,0.004619,Blue
B2,0.022230,0.020084,Blue
B2,0.021250,0.096787,Blue
B2,0.021670,0.071241,Blue
B2,0.021430,0.099315,Blue
B2,0.021310,0.103694,Blue
B2,0.020990,-0.035030,Blue
B2,0.019980,0.017034,Blue
B2,0.019210,0.011099,Blue
B2,0.018320,0.082044,Blue
B2,0.027410,-0.053148,Blue
B2,0.023510,0.027611,Blue
B2,0.020650,0.083892,Blue
B2,0.023970,-0.059065,Blue
B2,0.023100,0.105165,Blue
B2,0.024450,-0.052282,Blue
