feature,label,value,shap,zona
B3_B2,Green/Blue,1.0405964771915297,-1.7837469687034069,LAGO MAYOR
B3_B2,Green/Blue,1.636004253108004,-2.6901589470752296,LAGO MAYOR
B3_B2,Green/Blue,1.1267413121177097,-1.9482586192064824,LAGO MAYOR
B3_B2,Green/Blue,1.2529853492708825,-2.148043156785144,LAGO MAYOR
B3_B2,Green/Blue,1.3060428213429425,-2.120762403253582,LAGO MAYOR
B3_B2,Green/Blue,1.381954119590738,-2.357552008081656,LAGO MAYOR
B3_B2,Green/Blue,1.404643391183939,-2.550910845039756,LAGO MAYOR
B3_B2,Green/Blue,0.2555032479387104,1.3360637562161,LAGO MAYOR
B3_B2,Green/Blue,1.409251480589416,-2.572031442461037,LAGO MAYOR
B3_B2,Green/Blue,1.308205602861947,-2.0681869963998616,LAGO MAYOR
B3_B2,Green/Blue,1.3973022257111518,-2.490599890477994,LAGO MAYOR
B3_B2,Green/Blue,1.230716539691544,-2.049083046318678,LAGO MAYOR
B3_B2,Green/Blue,1.1041503091562137,-2.0758309059467384,LAGO MAYOR
B3_B2,Green/Blue,1.0332087574425588,-1.7246200192849277,LAGO MAYOR
B3_B2,Green/Blue,1.1345565170970175,-2.395668209604874,LAGO MAYOR
B3_B2,Green/Blue,0.9747806750334246,-1.3603868266141028,LAGO MAYOR
B3_B2,Green/Blue,1.127488882287797,-1.964526252365954,LAGO MENOR
B3_B2,Green/Blue,1.1505681584706138,-2.0479578365076883,LAGO MENOR
B3_B2,Green/Blue,1.6528496695660766,-2.6041014258241724,LAGO MENOR
B3_B2,Green/Blue,1.2283562977303546,-2.615313439904311,LAGO MENOR
B3_B2,Green/Blue,0.9980451564282112,-1.7319243296880469,LAGO MENOR
B3_B2,Green/Blue,0.9702841959395264,-1.189110882455893,LAGO MENOR
B3_B2,Green/Blue,1.8001024192669186,-2.441920696103799,LAGO MENOR
B3_B2,Green/Blue,1.054443878341374,-1.774369842700409,LAGO MENOR
B3_B2,Green/Blue,1.0167837229982934,-1.617723957155525,LAGO MENOR
B3_B2,Green/Blue,1.097738836698073,-2.1674103848724817,LAGO MENOR
B3_B2,Green/Blue,0.8506467718288212,0.7672361676583463,BAHIA PUNO
B3_B2,Green/Blue,0.886116664542589,0.11814080485865884,BAHIA PUNO
B3_B2,Green/Blue,1.0341499244933214,-1.5548117888719082,BAHIA PUNO
B3_B2,Green/Blue,0.9219007883512071,-0.7008869195320573,LAGO MAYOR
B3_B2,Green/Blue,0.8556837985930819,0.7630631176048246,LAGO MAYOR
B3_B2,Green/Blue,0.7799779691977277,1.0367246044642797,LAGO MAYOR
B3_B2,Green/Blue,0.8094162912152115,0.898931055037407,LAGO MAYOR
B3_B2,Green/Blue,0.7664974341371489,1.0774026638609837,LAGO MAYOR
B3_B2,Green/Blue,0.7908744946435553,0.956088817982273,LAGO MAYOR
B3_B2,Green/Blue,1.0653357290078105,-2.272292644452967,LAGO MAYOR
B3_B2,Green/Blue,0.9194728687421732,-0.6566166015542814,LAGO MAYOR
B3_B2,Green/Blue,0.7413792825569984,1.3287953931752694,LAGO MAYOR
B3_B2,Green/Blue,0.7587548369736528,1.32388167062261,LAGO MAYOR
B3_B2,Green/Blue,0.9902912320906786,-1.8528920409898542,LAGO MAYOR
B3_B2,Green/Blue,0.8341879985389744,0.9007972906708253,LAGO MAYOR
B3_B2,Green/Blue,0.7587131076708883,1.2336160670149539,LAGO MAYOR
B3_B2,Green/Blue,0.7753086100696045,1.332865963278916,LAGO MAYOR
B3_B2,Green/Blue,0.7475688513951033,1.2723555564982114,LAGO MAYOR
B3_B2,Green/Blue,0.7826449402317505,0.9611060211040064,LAGO MAYOR
B3_B2,Green/Blue,0.8078795569774433,0.8131282955740863,LAGO MAYOR
B3_B2,Green/Blue,0.7981099313526662,0.8669398380317257,LAGO MAYOR
