station,zona,campaign_date,year,sensor,secchi,zone_label,predicted,lower,upper,width,covered
E136,LAGO MENOR,2018-07-29,2018,LS,8.0,Lago Menor,7.40611714951715,3.9735794802974786,10.83865481873682,6.8650753384393415,True
E137,LAGO MENOR,2018-07-29,2018,LS,5.0,Lago Menor,5.03946550969498,1.6069278404753091,8.472003178914651,6.8650753384393415,True
E141,LAGO MENOR,2018-07-30,2018,LS,5.5,Lago Menor,8.304780653235657,5.262582351759355,11.346978954711957,6.084396602952602,True
E142,LAGO MENOR,2018-07-30,2018,LS,7.0,Lago Menor,8.57967533022533,5.537477028749028,11.621873631701632,6.084396602952604,True
E145,LAGO MENOR,2018-07-30,2018,LS,6.5,Lago Menor,7.203620880230878,4.161422578754577,10.24581918170718,6.084396602952603,True
E01,BAHIA PUNO,2019-07-11,2019,LS,8.0,Bahia de Puno,11.244104630369648,8.31513316855705,14.173076092182246,5.857942923625195,False
E02,BAHIA PUNO,2019-07-11,2019,LS,8.0,Bahia de Puno,8.60698363053613,5.678012168723533,11.535955092348726,5.857942923625193,True
E04,BAHIA PUNO,2019-07-11,2019,LS,1.5,Bahia de Puno,6.261330778365355,3.3323593165527585,9.190302240177953,5.8579429236251945,False
E05,BAHIA PUNO,2019-07-11,2019,LS,8.0,Bahia de Puno,7.804265804750806,4.875294342938209,10.733237266563403,5.8579429236251945,True
E08,BAHIA PUNO,2019-07-11,2019,LS,10.0,Bahia de Puno,6.949940778271732,4.020969316459135,9.878912240084329,5.857942923625194,False
E14,BAHIA PUNO,2019-07-12,2019,LS,9.0,Bahia de Puno,8.470465273615273,5.63918088181299,11.301749665417557,5.662568783604566,True
E16,BAHIA PUNO,2019-07-11,2019,LS,3.5,Bahia de Puno,6.413959581675928,3.4849881198633312,9.342931043488525,5.857942923625194,True
E17,BAHIA PUNO,2019-07-12,2019,LS,3.0,Bahia de Puno,6.130836822894905,3.299552431092622,8.962121214697188,5.662568783604566,False
E25,LAGO MAYOR,2019-07-12,2019,LS,6.1,Lago Mayor,8.846611178266166,6.015326786463882,11.677895570068449,5.662568783604566,True
E28,LAGO MAYOR,2019-07-12,2019,LS,7.0,Lago Mayor,9.48376043678544,6.652476044983157,12.315044828587723,5.662568783604566,True
E32,LAGO MAYOR,2019-07-12,2019,LS,6.0,Lago Mayor,9.583878265068272,6.7525938732659885,12.415162656870555,5.662568783604566,False
E36,LAGO MAYOR,2019-07-12,2019,LS,11.0,Lago Mayor,7.272618406812478,4.441334015010195,10.103902798614762,5.662568783604566,False
E39,LAGO MAYOR,2019-07-13,2019,LS,8.0,Lago Mayor,8.348979011544017,5.42000754973142,11.277950473356615,5.8579429236251945,True
E41,LAGO MAYOR,2019-07-13,2019,LS,9.5,Lago Mayor,10.237495477300484,7.308524015487888,13.166466939113082,5.8579429236251945,True
E42,LAGO MAYOR,2019-07-13,2019,LS,10.0,Lago Mayor,9.638973981018976,6.7100025192063795,12.567945442831572,5.857942923625193,True
E43,LAGO MAYOR,2019-07-13,2019,LS,12.0,Lago Mayor,8.346961558441555,5.417990096628958,11.27593302025415,5.857942923625193,False
E22,LAGO MAYOR,2019-07-13,2019,LS,6.0,Lago Mayor,9.940077451714954,7.011105989902357,12.86904891352755,5.857942923625193,False
E49,LAGO MAYOR,2019-07-14,2019,LS,12.0,Lago Mayor,11.175394749694746,8.344110357892463,14.00667914149703,5.662568783604566,True
E50,LAGO MAYOR,2019-07-14,2019,LS,12.0,Lago Mayor,10.60717854978354,7.7758941579812575,13.438462941585824,5.662568783604566,True
E52,LAGO MAYOR,2019-07-14,2019,LS,10.0,Lago Mayor,8.379267840516968,5.547983448714685,11.210552232319252,5.662568783604566,True
E53,LAGO MAYOR,2019-07-14,2019,LS,9.0,Lago Mayor,6.914426197691193,4.083141805888911,9.745710589493475,5.662568783604565,True
